problem3
                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
    0       1    6.004427e-01   4.551e-05                           1.620e+00
    1       2    5.864602e-01   1.358e-04   1.000e+00   1.182e-01   4.334e-02
    2       4    5.215221e-01   1.187e-04   1.000e+00   5.817e-01   4.327e-02
    3       5    4.770457e-01   1.521e-03   1.000e+00   4.228e-01   1.425e-01
    4       6    4.679702e-01   1.391e-03   1.000e+00   1.612e-01   1.891e-01
    5       8    4.202240e-01   2.471e-03   1.000e+00   8.469e-01   1.772e-01
    6      12    3.857022e-01   1.215e-02   4.900e-01   8.102e-01   2.229e-01
    7      14    3.372567e-01   7.598e-03   1.000e+00   1.460e+00   4.152e-01
    8      17    3.061925e-01   6.693e-03   7.000e-01   1.363e+00   1.218e-01
    9      19    2.717296e-01   5.452e-03   1.000e+00   1.860e+00   6.223e-02
   10      21    2.391724e-01   2.755e-03   1.000e+00   2.180e+00   1.927e-01
   11      23    2.125112e-01   2.517e-03   1.000e+00   2.540e+00   6.229e-01
   12      24    2.101386e-01   2.315e-04   1.000e+00   2.253e-01   9.996e-02
   13      26    2.064822e-01   3.723e-04   1.000e+00   9.044e-01   2.937e-02
   14      28    2.033250e-01   3.103e-04   1.000e+00   8.838e-01   7.264e-02
   15      29    2.023570e-01   1.324e-04   1.000e+00   4.232e-02   3.584e-02
   16      31    2.000597e-01   8.722e-05   1.000e+00   1.826e-01   8.372e-02
   17      33    1.990188e-01   2.394e-06   1.000e+00   2.361e-01   7.162e-02
   18      35    1.949093e-01   2.040e-04   1.000e+00   7.262e-01   7.146e-02
   19      38    1.904563e-01   2.831e-04   7.000e-01   5.881e-01   8.342e-02
   20      43    1.871752e-01   3.598e-04   3.430e-01   3.894e-01   9.711e-02
   21      48    1.847393e-01   5.364e-04   3.430e-01   3.267e-01   1.031e-01
   22      51    1.826637e-01   3.770e-04   7.000e-01   4.367e-01   3.496e-02
   23      53    1.821118e-01   1.588e-05   1.000e+00   2.316e-01   8.395e-03
   24      55    1.819884e-01   1.992e-06   1.000e+00   8.227e-02   5.261e-03
   25      57    1.817937e-01   2.933e-06   1.000e+00   1.262e-01   4.425e-03
   26      59    1.814767e-01   4.496e-06   1.000e+00   1.451e-01   6.123e-03
   27      61    1.808256e-01   1.016e-05   1.000e+00   1.941e-01   7.116e-03
   28      63    1.796098e-01   3.503e-05   1.000e+00   3.133e-01   1.987e-02
   29      67    1.783938e-01   8.831e-05   4.900e-01   3.634e-01   1.516e-02
   30      69    1.760040e-01   1.964e-04   1.000e+00   8.750e-01   3.635e-02

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
   31      71    1.751639e-01   8.269e-05   1.000e+00   6.645e-01   1.606e-02
   32      73    1.749234e-01   2.064e-05   1.000e+00   3.210e-01   1.127e-02
   33      76    1.746267e-01   4.335e-05   7.000e-01   3.568e-01   1.751e-02
   34      80    1.742293e-01   9.534e-05   4.900e-01   4.242e-01   2.671e-02
   35      85    1.738559e-01   1.189e-04   3.430e-01   3.702e-01   3.319e-02
   36      90    1.735008e-01   1.314e-04   3.430e-01   3.609e-01   3.468e-02
   37      94    1.731931e-01   1.397e-04   4.900e-01   3.954e-01   2.792e-02
   38      96    1.730243e-01   1.176e-04   1.000e+00   5.003e-01   6.623e-03
   39      98    1.730067e-01   1.666e-06   1.000e+00   1.121e-01   1.700e-03
   40     102    1.729852e-01   2.058e-06   4.900e-01   1.090e-01   2.285e-03
   41     106    1.729516e-01   4.075e-06   4.900e-01   1.291e-01   2.984e-03
   42     109    1.729071e-01   1.007e-05   7.000e-01   1.437e-01   6.244e-03
   43     111    1.728737e-01   6.420e-06   1.000e+00   1.021e-01   9.013e-03
   44     113    1.728610e-01   7.407e-07   1.000e+00   8.503e-02   7.256e-03
   45     115    1.728541e-01   1.967e-06   1.000e+00   1.033e-01   4.948e-03
   46     118    1.728492e-01   1.187e-06   7.000e-01   7.433e-02   4.358e-03
   47     122    1.728423e-01   1.182e-06   4.900e-01   7.885e-02   4.190e-03
   48     125    1.728264e-01   1.122e-06   7.000e-01   1.386e-01   5.551e-03
   49     130    1.728141e-01   2.097e-06   3.430e-01   5.839e-02   6.570e-03
   50     137    1.727968e-01   3.621e-06   1.681e-01   4.517e-02   8.149e-03
   51     145    1.727729e-01   5.894e-06   1.176e-01   3.891e-02   1.030e-02
   52     152    1.727286e-01   9.517e-06   1.681e-01   5.425e-02   1.496e-02
