problem6


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
    0       1   -3.913019e-01   1.979e-02                           1.628e+00
    1       2   -4.002099e-01   1.489e-04   1.000e+00   9.433e-02   2.250e-02
    2       4   -4.378052e-01   3.889e-04   1.000e+00   4.515e-01   1.884e-02
    3       7   -4.700514e-01   1.217e-03   7.000e-01   7.802e-01   9.360e-02
    4       8   -4.755302e-01   2.005e-04   1.000e+00   4.929e-02   9.464e-03
    5       9   -4.757480e-01   1.710e-04   1.000e+00   3.403e-02   7.782e-03
    6      11   -4.760052e-01   1.454e-05   1.000e+00   6.001e-02   8.990e-03
    7      13   -4.761122e-01   1.881e-06   1.000e+00   2.458e-02   9.470e-03
    8      15   -4.762325e-01   6.452e-06   1.000e+00   3.654e-02   9.122e-03
    9      17   -4.762783e-01   2.767e-07   1.000e+00   1.788e-02   6.062e-03
   10      19   -4.763284e-01   5.637e-07   1.000e+00   2.094e-02   6.299e-03
   11      21   -4.763688e-01   1.951e-07   1.000e+00   1.434e-02   7.113e-03
   12      23   -4.763969e-01   4.312e-07   1.000e+00   1.584e-02   2.752e-03
   13      25   -4.764103e-01   5.210e-08   1.000e+00   9.255e-03   3.319e-03
   14      27   -4.764319e-01   2.099e-07   1.000e+00   1.752e-02   4.324e-03
   15      29   -4.764573e-01   2.566e-07   1.000e+00   2.152e-02   5.212e-03
   16      31   -4.764723e-01   8.090e-09   1.000e+00   6.807e-03   4.328e-03
   17      33   -4.764967e-01   2.356e-07   1.000e+00   2.139e-02   3.180e-03
   18      35   -4.765082e-01   1.119e-07   1.000e+00   1.291e-02   2.951e-03
   19      38   -4.765411e-01   3.496e-06   7.000e-01   3.860e-02   4.308e-03
   20      42   -4.765715e-01   5.340e-06   4.900e-01   3.821e-02   5.317e-03
   21      47   -4.765990e-01   6.348e-06   3.430e-01   3.432e-02   5.538e-03
   22      52   -4.766304e-01   1.041e-05   3.430e-01   3.986e-02   7.020e-03
   23      58   -4.766542e-01   1.037e-05   2.401e-01   2.959e-02   8.179e-03
   24      64   -4.766833e-01   1.310e-05   2.401e-01   3.510e-02   9.491e-03
   25      70   -4.767168e-01   1.876e-05   2.401e-01   4.009e-02   1.096e-02
   26      76   -4.767532e-01   2.419e-05   2.401e-01   4.240e-02   1.252e-02
   27      82   -4.767910e-01   2.522e-05   2.401e-01   4.118e-02   1.336e-02
   28      88   -4.768302e-01   2.202e-05   2.401e-01   3.782e-02   1.315e-02
   29      93   -4.768858e-01   2.601e-05   3.430e-01   4.865e-02   1.130e-02
   30      97   -4.769502e-01   2.599e-05   4.900e-01   5.267e-02   1.129e-02

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
   31     100   -4.770138e-01   3.009e-05   7.000e-01   5.034e-02   8.747e-03
   32     102   -4.770733e-01   4.242e-05   1.000e+00   4.712e-02   9.437e-03
   33     104   -4.771296e-01   7.712e-06   1.000e+00   3.170e-02   1.318e-02
   34     106   -4.772094e-01   5.805e-06   1.000e+00   3.893e-02   1.711e-02
   35     108   -4.772676e-01   4.650e-06   1.000e+00   2.984e-02   1.298e-02
   36     110   -4.773278e-01   2.036e-05   1.000e+00   3.795e-02   7.952e-03
   37     112   -4.773889e-01   6.858e-06   1.000e+00   3.021e-02   6.830e-03
   38     114   -4.774162e-01   6.749e-07   1.000e+00   1.911e-02   4.089e-03
   39     116   -4.774230e-01   6.228e-07   1.000e+00   9.350e-03   3.527e-03
   40     118   -4.774277e-01   2.247e-07   1.000e+00   7.782e-03   2.801e-03
   41     120   -4.774316e-01   6.664e-08   1.000e+00   9.126e-03   1.460e-03
   42     122   -4.774335e-01   3.249e-08   1.000e+00   6.698e-03   1.151e-03
   43     124   -4.774343e-01   1.892e-08   1.000e+00   3.646e-03   6.947e-04
   44     126   -4.774350e-01   1.370e-08   1.000e+00   2.840e-03   5.626e-04
   45     128   -4.774359e-01   1.277e-08   1.000e+00   3.741e-03   7.265e-04
   46     130   -4.774367e-01   2.958e-09   1.000e+00   3.699e-03   1.135e-03
   47     132   -4.774372e-01   6.707e-09   1.000e+00   3.482e-03   1.028e-03
   48     134   -4.774377e-01   2.877e-08   1.000e+00   4.338e-03   1.052e-03
   49     137   -4.774382e-01   4.605e-08   7.000e-01   5.471e-03   1.071e-03
   50     140   -4.774389e-01   1.098e-07   7.000e-01   9.704e-03   9.015e-04
   51     143   -4.774395e-01   8.373e-08   7.000e-01   9.665e-03   7.324e-04
   52     145   -4.774401e-01   1.783e-07   1.000e+00   1.141e-02   9.636e-04
   53     147   -4.774405e-01   1.704e-08   1.000e+00   5.805e-03   8.395e-04
   54     149   -4.774411e-01   4.490e-08   1.000e+00   8.151e-03   8.614e-04
   55     152   -4.774417e-01   6.443e-08   7.000e-01   7.486e-03   1.001e-03
   56     157   -4.774422e-01   9.567e-08   3.430e-01   6.323e-03   1.127e-03
   57     163   -4.774427e-01   1.207e-07   2.401e-01   5.653e-03   1.183e-03
   58     169   -4.774432e-01   1.586e-07   2.401e-01   5.987e-03   1.186e-03
   59     175   -4.774437e-01   1.999e-07   2.401e-01   5.971e-03   1.169e-03
   60     181   -4.774442e-01   2.390e-07   2.401e-01   6.060e-03   1.271e-03

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
   61     187   -4.774446e-01   2.836e-07   2.401e-01   6.369e-03   1.418e-03
   62     193   -4.774450e-01   3.424e-07   2.401e-01   6.885e-03   1.626e-03
   63     200   -4.774453e-01   3.368e-07   1.681e-01   5.254e-03   1.815e-03
   64     207   -4.774457e-01   3.599e-07   1.681e-01   6.086e-03   2.057e-03
   65     214   -4.774461e-01   4.116e-07   1.681e-01   6.858e-03   2.339e-03
   66     222   -4.774465e-01   4.058e-07   1.176e-01   5.161e-03   2.548e-03
   67     230   -4.774468e-01   4.123e-07   1.176e-01   5.605e-03   2.761e-03
   68     238   -4.774472e-01   4.279e-07   1.176e-01   5.946e-03   2.966e-03
   69     246   -4.774476e-01   4.457e-07   1.176e-01   6.116e-03   3.152e-03
   70     254   -4.774480e-01   4.750e-07   1.176e-01   6.190e-03   3.313e-03
   71     262   -4.774483e-01   5.024e-07   1.176e-01   6.198e-03   3.445e-03
   72     270   -4.774487e-01   5.251e-07   1.176e-01   6.178e-03   3.551e-03
   73     278   -4.774490e-01   5.427e-07   1.176e-01   6.147e-03   3.636e-03
   74     286   -4.774493e-01   5.557e-07   1.176e-01   6.124e-03   3.706e-03
   75     294   -4.774496e-01   5.647e-07   1.176e-01   6.116e-03   3.770e-03
   76     302   -4.774498e-01   5.702e-07   1.176e-01   6.130e-03   3.837e-03
   77     310   -4.774501e-01   5.727e-07   1.176e-01   6.170e-03   3.914e-03
   78     318   -4.774503e-01   5.725e-07   1.176e-01   6.235e-03   4.010e-03
   79     326   -4.774505e-01   5.695e-07   1.176e-01   6.324e-03   4.132e-03
   80     334   -4.774508e-01   5.635e-07   1.176e-01   6.435e-03   4.288e-03
   81     342   -4.774510e-01   5.543e-07   1.176e-01   6.565e-03   4.483e-03
   82     350   -4.774512e-01   5.417e-07   1.176e-01   6.712e-03   4.720e-03
   83     357   -4.774514e-01   5.768e-07   1.681e-01   9.876e-03   5.130e-03
   84     364   -4.774517e-01   5.442e-07   1.681e-01   1.005e-02   5.660e-03
   85     371   -4.774519e-01   4.778e-07   1.681e-01   9.997e-03   6.207e-03
   86     379   -4.774521e-01   4.234e-07   1.176e-01   7.141e-03   6.630e-03
   87     387   -4.774522e-01   3.911e-07   1.176e-01   7.475e-03   7.064e-03
   88     396   -4.774524e-01   3.697e-07   8.235e-02   5.614e-03   7.438e-03
   89     405   -4.774525e-01   3.681e-07   8.235e-02   5.973e-03   7.848e-03
   90     414   -4.774527e-01   3.870e-07   8.235e-02   6.422e-03   8.351e-03

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
   91     424   -4.774528e-01   3.932e-07   5.765e-02   4.724e-03   8.757e-03
   92     434   -4.774529e-01   4.005e-07   5.765e-02   4.945e-03   9.203e-03
   93     444   -4.774531e-01   4.098e-07   5.765e-02   5.207e-03   9.675e-03
   94     454   -4.774532e-01   4.217e-07   5.765e-02   5.421e-03   1.017e-02
   95     464   -4.774534e-01   4.362e-07   5.765e-02   5.589e-03   1.067e-02
   96     474   -4.774535e-01   4.534e-07   5.765e-02   5.724e-03   1.119e-02
   97     484   -4.774537e-01   4.728e-07   5.765e-02   5.838e-03   1.172e-02
   98     494   -4.774539e-01   4.944e-07   5.765e-02   5.943e-03   1.225e-02
   99     504   -4.774541e-01   5.179e-07   5.765e-02   6.046e-03   1.280e-02
